time,open,high,low,close,tick_volume,spread,real_volume,src
2026-08-17 04:00:00,4397.01,4397.50,4396.56,4396.83,125,20,0,mt5bar
2026-08-17 04:01:00,4396.81,4398.15,4396.71,4397.60,139,21,0,mt5bar
2026-08-17 04:02:00,4397.37,4399.42,4396.50,4396.50,209,20,0,mt5bar
2026-08-17 04:03:00,4396.51,4397.97,4396.50,4397.56,159,21,0,mt5bar
2026-08-17 04:04:00,4397.53,4397.88,4397.19,4397.66,71,20,0,mt5bar
2026-08-17 04:05:00,4397.74,4398.42,4396.69,4396.71,110,21,0,mt5bar
2026-08-17 04:06:00,4396.63,4398.50,4396.35,4398.02,150,20,0,mt5bar
2026-08-17 04:07:00,4398.05,4398.60,4397.52,4397.62,131,20,0,mt5bar
2026-08-17 04:08:00,4397.47,4398.43,4396.56,4397.84,138,20,0,mt5bar
2026-08-17 04:09:00,4397.83,4398.41,4397.09,4397.88,126,20,0,mt5bar
2026-08-17 04:10:00,4397.81,4399.35,4397.12,4399.10,155,20,0,mt5bar
2026-08-17 04:11:00,4399.06,4399.27,4397.87,4397.89,104,22,0,mt5bar
2026-08-17 04:12:00,4397.87,4399.41,4397.87,4399.15,134,21,0,mt5bar
2026-08-17 04:13:00,4399.00,4399.16,4398.38,4398.64,97,21,0,mt5bar
2026-08-17 04:14:00,4398.70,4399.14,4398.19,4398.33,98,21,0,mt5bar
2026-08-17 04:15:00,4398.30,4398.77,4398.08,4398.08,109,21,0,mt5bar
2026-08-17 04:16:00,4398.18,4398.56,4397.20,4397.97,125,20,0,mt5bar
2026-08-17 04:17:00,4397.91,4398.35,4397.08,4397.67,140,21,0,mt5bar
2026-08-17 04:18:00,4397.62,4397.73,4396.76,4396.84,130,21,0,mt5bar
2026-08-17 04:19:00,4396.82,4397.47,4396.72,4397.07,87,21,0,mt5bar
2026-08-17 04:20:00,4397.11,4397.13,4395.64,4395.84,114,20,0,mt5bar
2026-08-17 04:21:00,4395.72,4395.72,4392.94,4393.66,150,20,0,mt5bar
2026-08-17 04:22:00,4393.75,4394.95,4393.57,4394.75,99,20,0,mt5bar
2026-08-17 04:23:00,4394.81,4395.44,4393.56,4393.56,81,20,0,mt5bar
2026-08-17 04:24:00,4393.57,4394.30,4393.38,4393.85,86,21,0,mt5bar
2026-08-17 04:25:00,4393.86,4393.95,4392.40,4393.37,83,20,0,mt5bar
2026-08-17 04:26:00,4393.36,4393.74,4393.16,4393.24,72,21,0,mt5bar
2026-08-17 04:27:00,4393.21,4393.62,4392.92,4392.92,87,20,0,mt5bar
2026-08-17 04:28:00,4392.78,4393.14,4390.13,4390.95,143,20,0,mt5bar
